Point,Pre-Op 3D [X],Pre-Op 3D [Y],Pre-Op 3D [Z],Planned 3D [X],Planned 3D [Y],Planned 3D [Z],Delta 3D,Delta X,Delta X Direction,Delta Y,Delta Y Direction,Delta Z,Delta Z Direction
CT 4-8,158.16,42.07,-13.9,,,,,,,,,,
CT 4-9,168.26,55.6,-15.74,,,,,,,,,,
CT 4-10,175.16,72.18,-18.05,,,,,,,,,,
LO 5-1,123.08,33.39,-2.85,,,,,,,,,,
LO 5-2,122.98,32.8,-4.5,,,,,,,,,,
LO 5-3,122.88,32.02,-6.08,,,,,,,,,,
LO 5-4,122.72,31.22,-7.72,,,,,,,,,,
CT 5-1,122.72,30.89,-1.73,,,,,,,,,,
CT 5-2,122.77,31.16,-3.42,,,,,,,,,,
CT 5-3,122.83,30.96,-5.42,,,,,,,,,,
CT 5-4,122.77,30.51,-7.16,,,,,,,,,,
LO R2-1,106.73,37.72,-93.83,,,,,,,,,,
LO R2-2,105.12,38.24,-95.13,,,,,,,,,,
LO R2-3,104,38.66,-96.62,,,,,,,,,,
LO R2-4,102.89,38.9,-97.99,,,,,,,,,,
LO R2-5,101.64,39.17,-99.54,,,,,,,,,,
LO R2-6,100.59,39.32,-101.03,,,,,,,,,,
LO R2-7,99.53,39.41,-102.7,,,,,,,,,,
LO R2-8,98.36,39.53,-104.38,,,,,,,,,,
LO R2-9,97.42,39.8,-106.11,,,,,,,,,,
LO R2-10,96.56,41.56,-108.41,,,,,,,,,,
CT R2-1,106.48,37.33,-92.94,,,,,,,,,,
CT R2-2,105.56,37.96,-94.48,,,,,,,,,,
CT R2-3,104.25,38.54,-96.64,,,,,,,,,,
CT R2-4,103.01,38.79,-98.64,,,,,,,,,,
CT R2-5,101.59,38.88,-100.92,,,,,,,,,,
CT R2-6,100.24,39.03,-102.96,,,,,,,,,,
CT R2-7,99.16,38.99,-104.65,,,,,,,,,,
CT R2-8,97.92,38.93,-106.5,,,,,,,,,,
CT R2-9,96.85,40.73,-108.43,,,,,,,,,,
CT R2-10,95.88,44.48,-110.08,,,,,,,,,,
LO R3-1,110.26,36.19,-95.34,,,,,,,,,,
LO R3-2,110.07,36.68,-97.01,,,,,,,,,,
LO R3-3,109.79,36.75,-98.88,,,,,,,,,,
LO R3-4,109.42,36.66,-100.56,,,,,,,,,,
LO R3-5,109.14,36.18,-102.14,,,,,,,,,,
LO R3-6,109,35.39,-103.72,,,,,,,,,,
LO R3-7,108.67,34.37,-105.5,,,,,,,,,,
LO R3-8,108.39,33.56,-107.08,,,,,,,,,,
LO R3-9,108.02,33.12,-108.57,,,,,,,,,,
LO R3-10,107.41,33.71,-110.3,,,,,,,,,,
CT R3-1,110.16,36.22,-95.29,,,,,,,,,,
CT R3-2,109.98,36.78,-97.29,,,,,,,,,,
CT R3-3,109.74,36.86,-98.88,,,,,,,,,,
CT R3-4,109.46,36.81,-100.51,,,,,,,,,,
CT R3-5,109.23,36.46,-102.28,,,,,,,,,,
CT R3-6,108.9,35.72,-104,,,,,,,,,,
CT R3-7,108.63,34.82,-105.59,,,,,,,,,,
CT R3-8,108.3,33.82,-107.36,,,,,,,,,,
CT R3-9,107.93,33.51,-109.41,,,,,,,,,,
CT R3-10,107.52,34.03,-111.1,,,,,,,,,,
LO R4-1,64.68,67.87,-68.06,,,,,,,,,,
LO R4-2,63.12,67.75,-69.41,,,,,,,,,,
LO R4-3,62.18,68.17,-71.12,,,,,,,,,,
LO R4-4,61.51,68.58,-73,,,,,,,,,,
LO R4-5,61.32,69.05,-74.71,,,,,,,,,,
LO R4-6,61.3,69.52,-76.53,,,,,,,,,,
LO R4-7,61.33,70.11,-78.12,,,,,,,,,,
LO R4-8,61.65,70.75,-79.82,,,,,,,,,,
LO R4-9,62.44,71.46,-81.23,,,,,,,,,,
LO R4-10,63.85,72.46,-82.47,,,,,,,,,,
CT R4-1,64.09,68.17,-68.42,,,,,,,,,,
CT R4-2,62.4,68.64,-69.83,,,,,,,,,,
CT R4-3,61.65,69.05,-71.3,,,,,,,,,,
CT R4-4,61.11,69.52,-72.94,,,,,,,,,,
CT R4-5,60.79,70.05,-74.65,,,,,,,,,,
CT R4-6,60.72,70.4,-76.41,,,,,,,,,,
CT R4-7,60.87,70.93,-78.23,,,,,,,,,,
CT R4-8,61.44,71.17,-80.12,,,,,,,,,,
CT R4-9,62.49,71.7,-81.76,,,,,,,,,,
CT R4-10,63.7,72.05,-82.7,,,,,,,,,,
LO L2-1,127.82,37.25,-94.67,,,,,,,,,,
LO L2-2,128.77,38.03,-96.01,,,,,,,,,,
LO L2-3,129.86,38.5,-97.47,,,,,,,,,,
LO L2-4,130.75,38.48,-99.07,,,,,,,,,,
LO L2-5,131.71,38.41,-100.72,,,,,,,,,,
LO L2-6,132.6,38.26,-102.25,,,,,,,,,,
LO L2-7,133.68,38.08,-103.78,,,,,,,,,,
LO L2-8,134.58,37.71,-105.37,,,,,,,,,,
LO L2-9,135.6,37.6,-107.16,,,,,,,,,,
LO L2-10,135.85,38.5,-108.94,,,,,,,,,,
CT L2-1,129.6,37.14,-93.4,,,,,,,,,,
CT L2-2,130.3,37.88,-94.8,,,,,,,,,,
CT L2-3,131.54,38.74,-96.98,,,,,,,,,,
CT L2-4,132.47,39.02,-98.35,,,,,,,,,,
CT L2-5,133.34,39.09,-99.76,,,,,,,,,,
CT L2-6,134.21,39.06,-101.32,,,,,,,,,,
CT L2-7,135.66,38.93,-103.44,,,,,,,,,,
CT L2-8,136.78,38.68,-105.57,,,,,,,,,,
CT L2-9,138.03,39.21,-107.83,,,,,,,,,,
CT L2-10,139.2,42.03,-109.71,,,,,,,,,,
LO L3-1,120.42,33.49,-94.86,,,,,,,,,,
LO L3-2,120.6,33.76,-96.41,,,,,,,,,,
LO L3-3,121.08,35,-98.05,,,,,,,,,,
LO L3-4,121.08,35.05,-99.93,,,,,,,,,,
LO L3-5,120.84,35.26,-101.66,,,,,,,,,,
LO L3-6,121.2,34.9,-103.39,,,,,,,,,,
LO L3-7,121.8,34.16,-104.94,,,,,,,,,,
LO L3-8,122.36,33.31,-106.37,,,,,,,,,,
LO L3-9,122.84,32.68,-107.8,,,,,,,,,,
LO L3-10,122.99,32.47,-109.03,,,,,,,,,,
CT L3-1,121.23,34.56,-94.08,,,,,,,,,,
CT L3-2,121.59,33.53,-95.81,,,,,,,,,,
CT L3-3,121.92,34.86,-97.96,,,,,,,,,,
CT L3-4,122.27,35.51,-99.78,,,,,,,,,,
CT L3-5,122.63,35.43,-101.48,,,,,,,,,,
CT L3-6,122.96,35.06,-103.18,,,,,,,,,,
CT L3-7,123.32,34.31,-104.79,,,,,,,,,,
CT L3-8,123.71,33.44,-106.4,,,,,,,,,,
CT L3-9,124,32.52,-108.34,,,,,,,,,,
CT L3-10,124.42,32.75,-109.89,,,,,,,,,,
LO L4-1,175.4,63.33,-70.07,,,,,,,,,,
LO L4-2,176.8,63.61,-71.45,,,,,,,,,,
LO L4-3,177.44,64.14,-73.07,,,,,,,,,,
LO L4-4,177.88,64.5,-74.63,,,,,,,,,,
LO L4-5,178.11,64.92,-76.36,,,,,,,,,,
LO L4-6,178.12,65.38,-78.13,,,,,,,,,,
LO L4-7,178.04,66.02,-79.73,,,,,,,,,,
LO L4-8,177.59,66.73,-81.28,,,,,,,,,,
LO L4-9,176.98,67.4,-82.77,,,,,,,,,,
LO L4-10,175.74,67.93,-83.94,,,,,,,,,,
CT L4-1,176.31,64.51,-70.21,,,,,,,,,,
CT L4-2,177.48,64.74,-71.65,,,,,,,,,,
CT L4-3,178.12,65.19,-73.28,,,,,,,,,,
CT L4-4,178.48,65.5,-74.99,,,,,,,,,,
CT L4-5,178.66,66.07,-76.74,,,,,,,,,,
CT L4-6,178.53,66.41,-78.44,,,,,,,,,,
CT L4-7,178.24,66.94,-80.11,,,,,,,,,,
CT L4-8,177.74,67.36,-81.71,,,,,,,,,,
CT L4-9,176.76,67.81,-83.19,,,,,,,,,,
CT L4-10,176.03,67.55,-83.99,,,,,,,,,,
LO R5-1,70.72,52.26,-56.08,,,,,,,,,,
LO R5-2,69.63,53.04,-56.35,,,,,,,,,,
LO R5-3,68.72,53.75,-56.42,,,,,,,,,,
LO R5-4,67.59,55.11,-56.45,,,,,,,,,,
LO R5-5,66.97,56.33,-56.25,,,,,,,,,,
LO R5-6,66.48,57.45,-56.42,,,,,,,,,,
CT R5-1,70.9,51.68,-55.2,,,,,,,,,,
CT R5-2,69.19,53.04,-55.51,,,,,,,,,,
CT R5-3,67.77,54.54,-55.91,,,,,,,,,,
CT R5-4,67.48,54.91,-56.08,,,,,,,,,,
CT R5-5,66.77,56,-56.12,,,,,,,,,,
CT R5-6,66.04,57.56,-56.19,,,,,,,,,,
LO L5-1,168.94,48.83,-56.5,,,,,,,,,,
LO L5-2,170.94,49.95,-57.17,,,,,,,,,,
LO L5-3,172.23,51.13,-57.66,,,,,,,,,,
LO L5-4,173.08,52.46,-57.96,,,,,,,,,,
LO L5-5,173.8,54.09,-58.24,,,,,,,,,,
CT L5-1,168.04,48.22,-55.38,,,,,,,,,,
CT L5-2,170.22,48.85,-55.78,,,,,,,,,,
CT L5-3,172.18,50.09,-56.14,,,,,,,,,,
CT L5-4,173.59,52.18,-56.35,,,,,,,,,,
CT L5-5,174.39,54,-56.58,,,,,,,,,,
